"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"2301","X7C4VKkY","76.89.142.143","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/2/2025 7:52","3/2/2025 8:07","14 mins 46 secs ","Pool Support and Amenities","Yes, I live here part-time","Quilcene","55-64","1","","","1","","1","1","","Very important",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - El Segundo","More than once a week","Very likely","Very likely","Very likely","Not likely","Very likely","Not likely","Very likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Very likely","Not likely","Very likely","Very likely","Not likely","Very likely","More than once a week","Very likely","Very likely","Very likely","Very likely","Very likely","Not likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Not likely","Not likely","Not likely","Several times a month","I am not a Jefferson County voter","This would be a wonderful addition to a growing community that wants more to do in the winter months. It also brings people together from all over the Jefferson County to build a stronger community with wellness in mind. Thank you!"
"2325","5tCK2GsT","24.113.151.78","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/3/2025 11:49","3/3/2025 12:06","16 mins 51 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Ludlow","75+","","","","","","","1","1","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"Yes","Other (Please specify) - MUV pool in Spokane Valley","Less than once a month","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Less than once a month","Not likely","Very likely","Not likely","Very likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes","All ages. Zero entrance pool for infants. Lap lane times for seniors. Papa, Nana and me times for grandkids."
"2336","z7C4i0vl","104.140.14.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0","PARTIAL","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/3/2025 15:13","3/3/2025 15:20","7 mins 26 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","65-74","","","","","","","2","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Mountlake Terrace Pool","Several times a month","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Very likely","Very likely","Very likely","Not likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"2338","YHfxiHdT","216.122.12.156","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.10 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/3/2025 15:45","3/3/2025 15:58","13 mins 7 secs ","Pool Support and Amenities","Yes, I live here full-time","Brinnon","75+","2","","","","1","","","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Yes","Other (Please specify) - Bangor aquatic pool","More than once a week","Somewhat likely","","","","","","","","","","","","","Somewhat likely","","Somewhat likely","","","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Yes","Good thing for all the schools in the area!"
"2346","e0CKTZcq","24.113.158.198","Mozilla/5.0 (Android 12; Mobile; rv:135.0) Gecko/135.0 Firefox/135.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/3/2025 19:56","3/3/2025 20:01","5 mins 30 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","0","0","1","1","1","1","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - western washington university","Several times a month","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Very likely","Several times a month","Yes",""
"2350","mzCimgKG","104.28.116.129","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/4/2025 6:24","3/4/2025 6:28","4 mins 34 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - We moved from Montana","More than once a week","Very likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Very likely","Not likely","Not likely","More than once a week","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Yes",""
"2366","wnCY2eBL","104.28.116.135","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/4/2025 16:55","3/4/2025 17:05","9 mins 47 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","0","0","0","0","2","","1","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"Yes","Other (Please specify) - Pools out of state","Don't use an aquatic facility","Very likely","Somewhat likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Very likely","Not likely","Somewhat likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","More than once a week","Yes","We need a pool at will serve our community. It needs to be a standard competition length. Having a masters team would be super awesome!"
"2371","ttCKNwdB","24.113.20.163","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/4/2025 21:16","3/4/2025 21:23","6 mins 53 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Green Valley, AZ","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","More than once a week","Yes","We would definitely use a facility that included a weight room/health club and would be happy to pay a membership fee for it."
"2382","hzCYMnGG","24.113.161.143","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawI1ZjRleHRuA2FlbQIxMQABHenUS0wFL4fRA3NFu5gURW2TvZ46lNB1kJqBFW81ade0RMlb2XNiAyiILw_aem_hO8CCFDfNOX1w8RFAjf0cg&lang=en","3/5/2025 9:16","3/5/2025 9:19","3 mins 15 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Ludlow","35-54","","2","","1","1","","","","Not important",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify)","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No",""
"2389","6qkwCk7W","172.56.109.99","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/5/2025 10:09","3/5/2025 10:15","5 mins 58 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","55-64","","","","","","1","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Out of town while traveling","Less than once a month","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","No","Maybe we could fix our water and sewer lines first?"
"2405","v0B628WU","73.14.68.48","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15 Ddg/18.3","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/5/2025 17:38","3/5/2025 17:44","5 mins 21 secs ","Pool Support and Amenities","Yes, I live here part-time","Kala Point","65-74","1","","","","2","","1","1","Very important",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"Yes","Other (Please specify) - Out of state","Less than once a month","Somewhat likely","Very likely","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Several times a month","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","I am not a Jefferson County voter",""
"2412","HxCKPnsP","67.40.12.29","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/6/2025 12:05","3/6/2025 12:12","7 mins 17 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"Yes","Other (Please specify) - Poulsbo","More than once a week","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","More than once a week","Yes",""
"2415","djEBumRk","24.113.20.102","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/6/2025 18:27","3/6/2025 18:43","16 mins 17 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Hadlock-Irondale","75+","","","","","","","","2","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Yes","Other (Please specify) - RV Travels","Less than once a month","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","Though my wife and I probably would not use the facility beyond lap swimming, we recognize the value of an aquatics program in Port Hadlock."
"2461","DoB6EEYC","67.182.130.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/8/2025 15:23","3/8/2025 15:31","7 mins 27 secs ","Pool Support and Amenities","Yes, I live here part-time","Brinnon","35-54","","","","2","1","1","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Private pool near Seattle","Several times a month","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Several times a month","Yes",""
"2478","wWCYiytm","24.113.161.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/9/2025 6:45","3/9/2025 6:51","5 mins 34 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Yes","Other (Please specify) - guest at hotel","Don't use an aquatic facility","Very likely","Very likely","Very likely","Very likely","","","Very likely","","Very likely","","","Very likely","Very likely","Very likely","Very likely","Very likely","","","Several times a month","Very likely","Very likely","","","Very likely","Very likely","","Very likely","","","Very likely","","Very likely","","","","Several times a month","Yes","This has been such a lengthy and difficult process and needed so badly for all here! Let's do it."
"2508","CGCKKl5E","97.113.6.20","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/9/2025 12:52","3/9/2025 13:03","11 mins 34 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Yes","Other (Please specify) - various places on RV trips","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","The proposed facility is too big, extravagant and expensive."
"2552","aDEBmsHI","24.113.160.245","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/10/2025 15:51","3/10/2025 15:55","4 mins 9 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","","2","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Yes","Other (Please specify) - Hotel","Less than once a month","","Somewhat likely","","","","","Somewhat likely","","","","Somewhat likely","","","Somewhat likely","Somewhat likely","","","","Several times a month","","","","","","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","","","","","","","","Several times a month","Yes",""
"2556","pZkkxXpR","23.152.80.42","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/10/2025 17:19","3/10/2025 17:23","4 mins 38 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","2","","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Ocean","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","","","","","","","","","","","","","","","","","","No","Please scale your ambitions to the community. Make the most of the existing facilities and resist the urge to take on exciting but ultimately too expensive for our community projects."
"2566","TDk84OXU","73.109.36.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/10/2025 18:35","3/11/2025 10:10","15 hrs 35 mins 2 secs ","Pool Support and Amenities","Yes, I live here part-time","Marrowstone","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Mercer Island Beach Club - Seattle","Several times a month","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"2573","cfkXghAO","98.97.140.169","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/134.0.6998.33 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/10/2025 19:20","3/10/2025 19:25","4 mins 38 secs ","Pool Support and Amenities","Yes, I live here full-time","Marrowstone","55-64","","1","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - RV park and hotel pools when traveling","Several times a month","Somewhat likely","Very likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Several times a month","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","More than once a week","I don't know/need more information",""
"2583","BICKwtHG","97.113.7.85","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/10/2025 20:23","3/10/2025 20:27","3 mins 25 secs ","Pool Support and Amenities","Yes, I live here part-time","Marrowstone","55-64","","","","","","1","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Gym with pool","Several times a month","Very likely","","","","","","","","","","","","","Very likely","Very likely","Very likely","","","Several times a month","","","","","Very likely","","","","","","Very likely","","","","","","Several times a month","I am not a Jefferson County voter",""
"2599","syB6fMgI","24.113.149.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/10/2025 22:13","3/10/2025 22:17","4 mins 57 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","1","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Bangor","Less than once a month","Somewhat likely","Very likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","I would need to make sure there were private changing areas if I were to use a pool in Jefferson County again."
"2602","SokHnh5h","172.56.109.8","Mozilla/5.0 (Linux; Android 14; SM-S711U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.50 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/503.0.0.69.76;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawI8ridleHRuA2FlbQIxMQABHQsNbgIRhIioPC7xK5_8FbsAmcI3Gb2lEOZeYzjezMlf1uOqBpuk24NRuA_aem_TgGPRnwnz6Myv2sBAY5M3w&lang=en","3/10/2025 22:49","3/10/2025 22:56","7 mins 14 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","75+","0","0","0","0","0","0","0","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Yes","Other (Please specify) - On vacation elsewhere","Less than once a month","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","Yes","Great idea to build in Hadlock"
